llm_model	model_name	provider	is_free	cost	numeric_cost	description
cognitivecomputations/dolphin3.0-mistral-24b:free	Mistral 24B (free)	Dolphin3.0	Y	$0/1M	0.0	Dolphin3.0 Mistral 24B (free) ($0/1M)
cognitivecomputations/dolphin3.0-r1-mistral-24b:free	R1 Mistral 24B (free) 🧠	Dolphin3.0	Y	$0/1M	0.0	Dolphin3.0 R1 Mistral 24B (free) 🧠 ($0/1M)
cognitivecomputations/dolphin3.0-r1-mistral-24b	R1 Mistral 24B 🧠	Dolphin3.0	N	$0.000000013/1M	1.3e-08	Dolphin3.0 R1 Mistral 24B 🧠 ($0.000000013/1M)
eva-unit-01/eva-qwen-2.5-72b	Qwen2.5 72B	EVA	N	$0.000004/1M	4e-06	EVA Qwen2.5 72B ($0.000004/1M)
eleutherai/llemma_7b	Llemma 7b	EleutherAI	N	$0.0000008/1M	8e-07	EleutherAI: Llemma 7b ($0.0000008/1M)
sao10k/fimbulvetr-11b-v2	11B v2 🧠	Fimbulvetr	N	$0.0000008/1M	8e-07	Fimbulvetr 11B v2 🧠 ($0.0000008/1M)
alpindale/goliath-120b	120B	Goliath	N	$0.000009/1M	9e-06	Goliath 120B ($0.000009/1M)
google/gemini-flash-1.5	Gemini 1.5 Flash	Google	N	$0.000000075/1M	7.5e-08	Google: Gemini 1.5 Flash  ($0.000000075/1M)
google/gemini-flash-1.5-8b	Gemini 1.5 Flash 8B	Google	N	$0.0000000375/1M	3.75e-08	Google: Gemini 1.5 Flash 8B ($0.0000000375/1M)
google/gemini-pro-1.5	Gemini 1.5 Pro	Google	N	$0.00000125/1M	1.25e-06	Google: Gemini 1.5 Pro ($0.00000125/1M)
google/gemini-2.0-flash-001	Gemini 2.0 Flash	Google	N	$0.0000001/1M	1e-07	Google: Gemini 2.0 Flash ($0.0000001/1M)
google/gemini-2.0-flash-exp:free	Gemini 2.0 Flash Experimental (free)	Google	Y	$0/1M	0.0	Google: Gemini 2.0 Flash Experimental (free) ($0/1M)
google/gemini-2.0-flash-lite-001	Gemini 2.0 Flash Lite	Google	N	$0.000000075/1M	7.5e-08	Google: Gemini 2.0 Flash Lite ($0.000000075/1M)
google/gemini-2.5-flash	Gemini 2.5 Flash	Google	N	$0.0000003/1M	3e-07	Google: Gemini 2.5 Flash ($0.0000003/1M)
google/gemini-2.5-flash-lite	Gemini 2.5 Flash Lite	Google	N	$0.0000001/1M	1e-07	Google: Gemini 2.5 Flash Lite ($0.0000001/1M)
google/gemini-2.5-flash-lite-preview-06-17	Gemini 2.5 Flash Lite Preview 06-17	Google	N	$0.0000001/1M	1e-07	Google: Gemini 2.5 Flash Lite Preview 06-17 ($0.0000001/1M)
google/gemini-2.5-pro	Gemini 2.5 Pro	Google	N	$0.00000125/1M	1.25e-06	Google: Gemini 2.5 Pro ($0.00000125/1M)
google/gemini-2.5-pro-exp-03-25	Gemini 2.5 Pro Experimental	Google	N	$0/1M	0.0	Google: Gemini 2.5 Pro Experimental ($0/1M)
google/gemini-2.5-pro-preview-05-06	Gemini 2.5 Pro Preview 05-06	Google	N	$0.00000125/1M	1.25e-06	Google: Gemini 2.5 Pro Preview 05-06 ($0.00000125/1M)
google/gemini-2.5-pro-preview	Gemini 2.5 Pro Preview 06-05	Google	N	$0.00000125/1M	1.25e-06	Google: Gemini 2.5 Pro Preview 06-05 ($0.00000125/1M)
google/gemma-2-27b-it	Gemma 2 27B	Google	N	$0.00000065/1M	6.5e-07	Google: Gemma 2 27B ($0.00000065/1M)
google/gemma-2-9b-it	Gemma 2 9B	Google	N	$0.000000004/1M	4e-09	Google: Gemma 2 9B ($0.000000004/1M)
google/gemma-2-9b-it:free	Gemma 2 9B (free)	Google	Y	$0/1M	0.0	Google: Gemma 2 9B (free) ($0/1M)
google/gemma-3-12b-it	Gemma 3 12B	Google	N	$0.00000003/1M	3e-08	Google: Gemma 3 12B ($0.00000003/1M)
google/gemma-3-12b-it:free	Gemma 3 12B (free)	Google	Y	$0/1M	0.0	Google: Gemma 3 12B (free) ($0/1M)
google/gemma-3-27b-it	Gemma 3 27B	Google	N	$0.00000009/1M	9e-08	Google: Gemma 3 27B ($0.00000009/1M)
google/gemma-3-27b-it:free	Gemma 3 27B (free)	Google	Y	$0/1M	0.0	Google: Gemma 3 27B (free) ($0/1M)
google/gemma-3-4b-it	Gemma 3 4B	Google	N	$0.00000002/1M	2e-08	Google: Gemma 3 4B ($0.00000002/1M)
google/gemma-3-4b-it:free	Gemma 3 4B (free)	Google	Y	$0/1M	0.0	Google: Gemma 3 4B (free) ($0/1M)
google/gemma-3n-e2b-it:free	Gemma 3n 2B (free)	Google	Y	$0/1M	0.0	Google: Gemma 3n 2B (free) ($0/1M)
google/gemma-3n-e4b-it	Gemma 3n 4B	Google	N	$0.00000002/1M	2e-08	Google: Gemma 3n 4B ($0.00000002/1M)
google/gemma-3n-e4b-it:free	Gemma 3n 4B (free)	Google	Y	$0/1M	0.0	Google: Gemma 3n 4B (free) ($0/1M)
inception/mercury	Mercury	Inception	N	$0.00000025/1M	2.5e-07	Inception: Mercury ($0.00000025/1M)
inception/mercury-coder	Mercury Coder	Inception	N	$0.00000025/1M	2.5e-07	Inception: Mercury Coder ($0.00000025/1M)
infermatic/mn-inferor-12b	Mistral Nemo Inferor 12B	Infermatic	N	$0.0000008/1M	8e-07	Infermatic: Mistral Nemo Inferor 12B ($0.0000008/1M)
inflection/inflection-3-pi	Inflection 3 Pi	Inflection	N	$0.0000025/1M	2.5e-06	Inflection: Inflection 3 Pi ($0.0000025/1M)
inflection/inflection-3-productivity	Inflection 3 Productivity	Inflection	N	$0.0000025/1M	2.5e-06	Inflection: Inflection 3 Productivity ($0.0000025/1M)
moonshotai/kimi-dev-72b:free	Dev 72b (free)	Kimi	Y	$0/1M	0.0	Kimi Dev 72b (free) ($0/1M)
liquid/lfm-3b	LFM 3B	Liquid	N	$0.00000002/1M	2e-08	Liquid: LFM 3B ($0.00000002/1M)
liquid/lfm-40b	LFM 40B MoE	Liquid	N	$0.00000015/1M	1.5e-07	Liquid: LFM 40B MoE ($0.00000015/1M)
liquid/lfm-7b	LFM 7B	Liquid	N	$0.00000001/1M	1e-08	Liquid: LFM 7B ($0.00000001/1M)
meta-llama/llama-guard-3-8b	Guard 3 8B	Llama	N	$0.00000002/1M	2e-08	Llama Guard 3 8B ($0.00000002/1M)
anthracite-org/magnum-v2-72b	v2 72B	Magnum	N	$0.000003/1M	3e-06	Magnum v2 72B ($0.000003/1M)
anthracite-org/magnum-v4-72b	v4 72B	Magnum	N	$0.0000025/1M	2.5e-06	Magnum v4 72B ($0.0000025/1M)
mancer/weaver	Weaver (alpha)	Mancer	N	$0.0000015/1M	1.5e-06	Mancer: Weaver (alpha) ($0.0000015/1M)
meta-llama/llama-3-70b-instruct	Llama 3 70B Instruct	Meta	N	$0.0000003/1M	3e-07	Meta: Llama 3 70B Instruct ($0.0000003/1M)
meta-llama/llama-3-8b-instruct	Llama 3 8B Instruct	Meta	N	$0.00000003/1M	3e-08	Meta: Llama 3 8B Instruct ($0.00000003/1M)
meta-llama/llama-3.1-405b	Llama 3.1 405B (base)	Meta	N	$0.000002/1M	2e-06	Meta: Llama 3.1 405B (base) ($0.000002/1M)
meta-llama/llama-3.1-405b-instruct	Llama 3.1 405B Instruct	Meta	N	$0.0000008/1M	8e-07	Meta: Llama 3.1 405B Instruct ($0.0000008/1M)
meta-llama/llama-3.1-405b-instruct:free	Llama 3.1 405B Instruct (free)	Meta	Y	$0/1M	0.0	Meta: Llama 3.1 405B Instruct (free) ($0/1M)
meta-llama/llama-3.1-70b-instruct	Llama 3.1 70B Instruct ⚡	Meta	N	$0.0000001/1M	1e-07	Meta: Llama 3.1 70B Instruct ⚡ ($0.0000001/1M)
meta-llama/llama-3.1-8b-instruct	Llama 3.1 8B Instruct	Meta	N	$0.000000015/1M	1.5e-08	Meta: Llama 3.1 8B Instruct ($0.000000015/1M)
meta-llama/llama-3.2-11b-vision-instruct	Llama 3.2 11B Vision Instruct	Meta	N	$0.000000049/1M	4.9e-08	Meta: Llama 3.2 11B Vision Instruct ($0.000000049/1M)
meta-llama/llama-3.2-11b-vision-instruct:free	Llama 3.2 11B Vision Instruct (free)	Meta	Y	$0/1M	0.0	Meta: Llama 3.2 11B Vision Instruct (free) ($0/1M)
meta-llama/llama-3.2-1b-instruct	Llama 3.2 1B Instruct	Meta	N	$0.000000005/1M	5e-09	Meta: Llama 3.2 1B Instruct ($0.000000005/1M)
meta-llama/llama-3.2-3b-instruct	Llama 3.2 3B Instruct	Meta	N	$0.000000003/1M	3e-09	Meta: Llama 3.2 3B Instruct ($0.000000003/1M)
meta-llama/llama-3.2-3b-instruct:free	Llama 3.2 3B Instruct (free)	Meta	Y	$0/1M	0.0	Meta: Llama 3.2 3B Instruct (free) ($0/1M)
meta-llama/llama-3.2-90b-vision-instruct	Llama 3.2 90B Vision Instruct	Meta	N	$0.0000012/1M	1.2e-06	Meta: Llama 3.2 90B Vision Instruct ($0.0000012/1M)
meta-llama/llama-3.3-70b-instruct	Llama 3.3 70B Instruct	Meta	N	$0.000000038/1M	3.8e-08	Meta: Llama 3.3 70B Instruct ($0.000000038/1M)
meta-llama/llama-3.3-70b-instruct:free	Llama 3.3 70B Instruct (free)	Meta	Y	$0/1M	0.0	Meta: Llama 3.3 70B Instruct (free) ($0/1M)
meta-llama/llama-4-maverick	Llama 4 Maverick	Meta	N	$0.00000015/1M	1.5e-07	Meta: Llama 4 Maverick ($0.00000015/1M)
meta-llama/llama-4-scout	Llama 4 Scout	Meta	N	$0.00000008/1M	8e-08	Meta: Llama 4 Scout ($0.00000008/1M)
meta-llama/llama-guard-4-12b	Llama Guard 4 12B	Meta	N	$0.00000005/1M	5e-08	Meta: Llama Guard 4 12B ($0.00000005/1M)
meta-llama/llama-guard-2-8b	LlamaGuard 2 8B	Meta	N	$0.0000002/1M	2e-07	Meta: LlamaGuard 2 8B ($0.0000002/1M)
microsoft/mai-ds-r1:free	MAI DS R1 (free) 🧠	Microsoft	Y	$0/1M	0.0	Microsoft: MAI DS R1 (free) 🧠 ($0/1M)
microsoft/mai-ds-r1	MAI DS R1 🧠	Microsoft	N	$0.000000302/1M	3.02e-07	Microsoft: MAI DS R1 🧠 ($0.000000302/1M)
microsoft/phi-4	Phi 4	Microsoft	N	$0.00000006/1M	6e-08	Microsoft: Phi 4 ($0.00000006/1M)
microsoft/phi-4-multimodal-instruct	Phi 4 Multimodal Instruct	Microsoft	N	$0.00000005/1M	5e-08	Microsoft: Phi 4 Multimodal Instruct ($0.00000005/1M)
microsoft/phi-4-reasoning-plus	Phi 4 Reasoning Plus	Microsoft	N	$0.00000007/1M	7e-08	Microsoft: Phi 4 Reasoning Plus ($0.00000007/1M)
microsoft/phi-3-medium-128k-instruct	Phi-3 Medium 128K Instruct	Microsoft	N	$0.000001/1M	1e-06	Microsoft: Phi-3 Medium 128K Instruct ($0.000001/1M)
microsoft/phi-3-mini-128k-instruct	Phi-3 Mini 128K Instruct	Microsoft	N	$0.0000001/1M	1e-07	Microsoft: Phi-3 Mini 128K Instruct ($0.0000001/1M)
microsoft/phi-3.5-mini-128k-instruct	Phi-3.5 Mini 128K Instruct	Microsoft	N	$0.0000001/1M	1e-07	Microsoft: Phi-3.5 Mini 128K Instruct ($0.0000001/1M)
sophosympatheia/midnight-rose-70b	Rose 70B	Midnight	N	$0.0000008/1M	8e-07	Midnight Rose 70B ($0.0000008/1M)
minimax/minimax-m1	MiniMax M1	MiniMax	N	$0.0000003/1M	3e-07	MiniMax: MiniMax M1 ($0.0000003/1M)
minimax/minimax-01	MiniMax-01	MiniMax	N	$0.0000002/1M	2e-07	MiniMax: MiniMax-01 ($0.0000002/1M)
mistralai/mistral-large	Large	Mistral	N	$0.000002/1M	2e-06	Mistral Large ($0.000002/1M)
mistralai/mistral-large-2407	Large 2407	Mistral	N	$0.000002/1M	2e-06	Mistral Large 2407 ($0.000002/1M)
mistralai/mistral-large-2411	Large 2411	Mistral	N	$0.000002/1M	2e-06	Mistral Large 2411 ($0.000002/1M)
nothingiisreal/mn-celeste-12b	Nemo 12B Celeste	Mistral	N	$0.0000008/1M	8e-07	Mistral Nemo 12B Celeste ($0.0000008/1M)
mistralai/mistral-small	Small	Mistral	N	$0.0000002/1M	2e-07	Mistral Small ($0.0000002/1M)
mistralai/mistral-tiny	Tiny	Mistral	N	$0.00000025/1M	2.5e-07	Mistral Tiny ($0.00000025/1M)
mistralai/codestral-2501	Codestral 2501	Mistral	N	$0.0000003/1M	3e-07	Mistral: Codestral 2501 ($0.0000003/1M)
mistralai/devstral-medium	Devstral Medium	Mistral	N	$0.0000004/1M	4e-07	Mistral: Devstral Medium ($0.0000004/1M)
mistralai/devstral-small	Devstral Small 1.1	Mistral	N	$0.00000007/1M	7e-08	Mistral: Devstral Small 1.1 ($0.00000007/1M)
mistralai/devstral-small-2505	Devstral Small 2505	Mistral	N	$0.00000003/1M	3e-08	Mistral: Devstral Small 2505 ($0.00000003/1M)
mistralai/devstral-small-2505:free	Devstral Small 2505 (free)	Mistral	Y	$0/1M	0.0	Mistral: Devstral Small 2505 (free) ($0/1M)
mistralai/magistral-medium-2506	Magistral Medium 2506	Mistral	N	$0.000002/1M	2e-06	Mistral: Magistral Medium 2506 ($0.000002/1M)
mistralai/magistral-medium-2506:thinking	Magistral Medium 2506 (thinking)	Mistral	N	$0.000002/1M	2e-06	Mistral: Magistral Medium 2506 (thinking) ($0.000002/1M)
mistralai/magistral-small-2506	Magistral Small 2506	Mistral	N	$0.0000005/1M	5e-07	Mistral: Magistral Small 2506 ($0.0000005/1M)
mistralai/ministral-3b	Ministral 3B	Mistral	N	$0.00000004/1M	4e-08	Mistral: Ministral 3B ($0.00000004/1M)
mistralai/ministral-8b	Ministral 8B	Mistral	N	$0.0000001/1M	1e-07	Mistral: Ministral 8B ($0.0000001/1M)
mistralai/mistral-7b-instruct	Mistral 7B Instruct	Mistral	N	$0.000000028/1M	2.8e-08	Mistral: Mistral 7B Instruct ($0.000000028/1M)
mistralai/mistral-7b-instruct:free	Mistral 7B Instruct (free)	Mistral	Y	$0/1M	0.0	Mistral: Mistral 7B Instruct (free) ($0/1M)
mistralai/mistral-7b-instruct-v0.1	Mistral 7B Instruct v0.1	Mistral	N	$0.00000011/1M	1.1e-07	Mistral: Mistral 7B Instruct v0.1 ($0.00000011/1M)
mistralai/mistral-7b-instruct-v0.2	Mistral 7B Instruct v0.2	Mistral	N	$0.0000002/1M	2e-07	Mistral: Mistral 7B Instruct v0.2 ($0.0000002/1M)
mistralai/mistral-7b-instruct-v0.3	Mistral 7B Instruct v0.3	Mistral	N	$0.000000028/1M	2.8e-08	Mistral: Mistral 7B Instruct v0.3 ($0.000000028/1M)
mistralai/mistral-medium-3	Mistral Medium 3	Mistral	N	$0.0000004/1M	4e-07	Mistral: Mistral Medium 3 ($0.0000004/1M)
mistralai/mistral-nemo	Mistral Nemo	Mistral	N	$0.0000000075/1M	7.5e-09	Mistral: Mistral Nemo ($0.0000000075/1M)
mistralai/mistral-nemo:free	Mistral Nemo (free)	Mistral	Y	$0/1M	0.0	Mistral: Mistral Nemo (free) ($0/1M)
mistralai/mistral-small-24b-instruct-2501	Mistral Small 3	Mistral	N	$0.00000003/1M	3e-08	Mistral: Mistral Small 3 ($0.00000003/1M)
mistralai/mistral-small-24b-instruct-2501:free	Mistral Small 3 (free)	Mistral	Y	$0/1M	0.0	Mistral: Mistral Small 3 (free) ($0/1M)
mistralai/mistral-small-3.1-24b-instruct	Mistral Small 3.1 24B	Mistral	N	$0.000000027/1M	2.7e-08	Mistral: Mistral Small 3.1 24B ($0.000000027/1M)
mistralai/mistral-small-3.1-24b-instruct:free	Mistral Small 3.1 24B (free)	Mistral	Y	$0/1M	0.0	Mistral: Mistral Small 3.1 24B (free) ($0/1M)
mistralai/mistral-small-3.2-24b-instruct	Mistral Small 3.2 24B	Mistral	N	$0.00000005/1M	5e-08	Mistral: Mistral Small 3.2 24B ($0.00000005/1M)
